city,course_name,insitute_type ,institute_name,branch,total_seats
BALAGHAT,ITI,Government,"GOVT ITI - PARASWARA, DIST - BALAGHAT",Electrician (NSQF),20
BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Cosmetology (NSQF),48
BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Computer Operator And Programming Assistant (NSQF),48
BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Electrician (NSQF),20
BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Fitter (NSQF),20
BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Information Communication Technology System Maintenance (NSQF),24
BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Instrument Mechanic (NSQF),24
BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Mason (Building Constructor) (NSQF),48
BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Mechanic (Motor Vehicle) (NSQF),24
BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Mechanic Diesel (NSQF),48
BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Sewing Technology (Cutting & Tailoring) (NSQF),40
BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Stenographer & Secretarial Assistant (Hindi) (NSQF),96
BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Turner (NSQF),20
BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Welder (NSQF),40
BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Draughtsman (Civil) (NSQF),24
BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Wood Work Technician (Carpenter)(NSQF),48
BALAGHAT,ITI,Government,"GOVT ITI - BAIHAR, DIST - BALAGHAT",Computer Operator And Programming Assistant (NSQF),48
BALAGHAT,ITI,Government,"GOVT ITI - BAIHAR, DIST - BALAGHAT",Electrician (NSQF),40
BALAGHAT,ITI,Government,"GOVT ITI - BAIHAR, DIST - BALAGHAT",Fitter (NSQF),20
BALAGHAT,ITI,Government,"GOVT ITI - BAIHAR, DIST - BALAGHAT",Machinist (NSQF),20
BALAGHAT,ITI,Government,"GOVT ITI - BAIHAR, DIST - BALAGHAT",Mechanic Diesel (NSQF),48
BALAGHAT,ITI,Government,"GOVT ITI - BAIHAR, DIST - BALAGHAT",Turner (NSQF),20
BALAGHAT,ITI,Government,"GOVT ITI - BAIHAR, DIST - BALAGHAT",Welder (NSQF),40
BALAGHAT,ITI,Government,"GOVT ITI - BAIHAR, DIST - BALAGHAT",Wood Work Technician (Carpenter)(NSQF),24
BALAGHAT,ITI,Government,"GOVT ITI - PALDOGRI, DIST - BALAGHAT",Computer Operator And Programming Assistant (NSQF),48
BALAGHAT,ITI,Government,"GOVT ITI - PALDOGRI, DIST - BALAGHAT",Electrician (NSQF),20
BALAGHAT,ITI,Government,"GOVT ITI - PALDOGRI, DIST - BALAGHAT",Fitter (NSQF),20
BALAGHAT,ITI,Government,"GOVT ITI - PALDOGRI, DIST - BALAGHAT",Mechanic (Motor Vehicle) (NSQF),24
BALAGHAT,ITI,Government,"GOVT ITI - PALDOGRI, DIST - BALAGHAT",Stenographer & Secretarial Assistant (Hindi) (NSQF),48
BALAGHAT,ITI,Government,"GOVT ITI - PALDOGRI, DIST - BALAGHAT",Welder (NSQF),40
BALAGHAT,ITI,Government,"GOVT ITI - BIRSA, DIST - BALAGHAT",Computer Operator And Programming Assistant (NSQF),24
BALAGHAT,ITI,Government,"GOVT ITI - BIRSA, DIST - BALAGHAT",Electrician (NSQF),20
BALAGHAT,ITI,Government,"GOVT ITI - BIRSA, DIST - BALAGHAT",Electrician (NSQF),20
BALAGHAT,ITI,Government,"GOVT ITI - BIRSA, DIST - BALAGHAT",Fitter (NSQF),20
BALAGHAT,ITI,Government,"GOVT ITI - KIRNAPUR, DIST - BALAGHAT",Computer Operator And Programming Assistant (NSQF),48
BALAGHAT,ITI,Government,"GOVT ITI - KIRNAPUR, DIST - BALAGHAT",Electrician (NSQF),20
BALAGHAT,ITI,Government,"GOVT ITI - KIRNAPUR, DIST - BALAGHAT",Fire Technology And Industrial Safety Management (NSQF),48
BALAGHAT,ITI,Government,"GOVT ITI - KIRNAPUR, DIST - BALAGHAT",Fitter (NSQF),20
BALAGHAT,ITI,Government,"GOVT ITI - KIRNAPUR, DIST - BALAGHAT",Mechanic (Motor Vehicle) (NSQF),24
BALAGHAT,ITI,Government,"GOVT ITI - KIRNAPUR, DIST - BALAGHAT",Mechanic Diesel (NSQF),48
BALAGHAT,ITI,Government,"GOVT ITI - KIRNAPUR, DIST - BALAGHAT",Welder (NSQF),40
BALAGHAT,ITI,Government,"GOVT ITI - MALAJKHAND, DIST - BALAGHAT",Computer Operator And Programming Assistant (NSQF),48
BALAGHAT,ITI,Government,"GOVT ITI - MALAJKHAND, DIST - BALAGHAT",Electrician (NSQF),20
BALAGHAT,ITI,Government,"GOVT ITI - MALAJKHAND, DIST - BALAGHAT",Fitter (NSQF),20
BALAGHAT,ITI,Government,"GOVT ITI - MALAJKHAND, DIST - BALAGHAT",Solar Technician (Electrical)(NSQF),20
BALAGHAT,ITI,Government,"GOVT ITI - MALAJKHAND, DIST - BALAGHAT",Welder (NSQF),40
MANDLA,ITI,Government,"GOVT ITI - MAWAI , DIST - MANDLA",Electrician (NSQF),20
MANDLA,ITI,Government,"GOVT ITI - MAWAI , DIST - MANDLA",Weaving Technician For Silk & Woolen Fabrics(NSQF),20
MANDLA,ITI,Government,"GOVT ITI - MOHGAON, DIST - MANDLA",Welder (NSQF),20
MANDLA,ITI,Government,"GOVT ITI - GHUGRI, DIST - MANDLA",Electrician (NSQF),20
MANDLA,ITI,Government,"GOVT ITI - NARAYANGANJ, DIST - MANDLA",Welder (NSQF),20
MANDLA,ITI,Government,"GOVT ITI - BIJADANDI, DIST - MANDLA",Fitter (NSQF),20
MANDLA,ITI,Government,"GOVT ITI - MANDLA, DIST - MANDLA",Computer Operator And Programming Assistant (NSQF),48
MANDLA,ITI,Government,"GOVT ITI - MANDLA, DIST - MANDLA",Electrician (NSQF),40
MANDLA,ITI,Government,"GOVT ITI - MANDLA, DIST - MANDLA",Fitter (NSQF),20
MANDLA,ITI,Government,"GOVT ITI - MANDLA, DIST - MANDLA",Food Production (General) (NSQF),24
MANDLA,ITI,Government,"GOVT ITI - MANDLA, DIST - MANDLA",Machinist (NSQF),20
MANDLA,ITI,Government,"GOVT ITI - MANDLA, DIST - MANDLA",Mason (Building Constructor) (NSQF),48
MANDLA,ITI,Government,"GOVT ITI - MANDLA, DIST - MANDLA",Mechanic (Motor Vehicle) (NSQF),24
MANDLA,ITI,Government,"GOVT ITI - MANDLA, DIST - MANDLA",Mechanic Diesel (NSQF),48
MANDLA,ITI,Government,"GOVT ITI - MANDLA, DIST - MANDLA",Stenographer & Secretarial Assistant (Hindi) (NSQF),48
MANDLA,ITI,Government,"GOVT ITI - MANDLA, DIST - MANDLA",Turner (NSQF),20
MANDLA,ITI,Government,"GOVT ITI - MANDLA, DIST - MANDLA",Welder (NSQF),40
MANDLA,ITI,Government,"GOVT ITI - MANDLA, DIST - MANDLA",Surveyor ( Nsqf),24
MANDLA,ITI,Government,"GOVT ITI - MANDLA, DIST - MANDLA",Architectural Draughtsman (NSQF),24
MANDLA,ITI,Government,"GOVT ITI - MANDLA, DIST - MANDLA",Wood Work Technician (Carpenter)(NSQF),24
MANDLA,ITI,Government,"GOVT ITI - NAINPUR, DIST - MANDLA",Computer Operator And Programming Assistant (NSQF),48
MANDLA,ITI,Government,"GOVT ITI - NAINPUR, DIST - MANDLA",Electrician (NSQF),20
MANDLA,ITI,Government,"GOVT ITI - NAINPUR, DIST - MANDLA",Fitter (NSQF),20
MANDLA,ITI,Government,"GOVT ITI - NAINPUR, DIST - MANDLA",Mechanic (Motor Vehicle) (NSQF),24
MANDLA,ITI,Government,"GOVT ITI - NAINPUR, DIST - MANDLA",Mechanic Diesel (NSQF),48
MANDLA,ITI,Government,"GOVT ITI - NAINPUR, DIST - MANDLA",Welder (NSQF),40
MANDLA,ITI,Government,"GOVT ITI - BICHHIYA, DIST - MANDLA",Computer Operator And Programming Assistant (NSQF),24
MANDLA,ITI,Government,"GOVT ITI - BICHHIYA, DIST - MANDLA",Electrician (NSQF),20
MANDLA,ITI,Government,"GOVT ITI - BICHHIYA, DIST - MANDLA",Welder (NSQF),20
MANDLA,ITI,Government,"GOVT ITI - NIWAS, DIST - MANDLA",Computer Operator And Programming Assistant (NSQF),48
MANDLA,ITI,Government,"GOVT ITI - NIWAS, DIST - MANDLA",Electrician (NSQF),20
MANDLA,ITI,Government,"GOVT ITI - NIWAS, DIST - MANDLA",Mechanic Diesel (NSQF),48
MANDLA,ITI,Government,"GOVT ITI - NIWAS, DIST - MANDLA",Plumber (NSQF),24
