S.No.,DIVISION,Distrcit ,Types of Institute,Type ,Institute Name,Trade/ Branch Name,Seats
1,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - PARASWARA, DIST - BALAGHAT",Electrician (NSQF),20
2,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Cosmetology (NSQF),48
3,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Computer Operator And Programming Assistant (NSQF),48
4,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Electrician (NSQF),20
5,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Fitter (NSQF),20
6,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Information Communication Technology System Maintenance (NSQF),24
7,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Instrument Mechanic (NSQF),24
8,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Mason (Building Constructor) (NSQF),48
9,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Mechanic (Motor Vehicle) (NSQF),24
10,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Mechanic Diesel (NSQF),48
11,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Sewing Technology (Cutting & Tailoring) (NSQF),40
12,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Stenographer & Secretarial Assistant (Hindi) (NSQF),96
13,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Turner (NSQF),20
14,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Welder (NSQF),40
15,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Draughtsman (Civil) (NSQF),24
16,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - BALAGHAT, DIST - BALAGHAT",Wood Work Technician (Carpenter)(NSQF),48
17,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - BAIHAR, DIST - BALAGHAT",Computer Operator And Programming Assistant (NSQF),48
18,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - BAIHAR, DIST - BALAGHAT",Electrician (NSQF),40
19,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - BAIHAR, DIST - BALAGHAT",Fitter (NSQF),20
20,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - BAIHAR, DIST - BALAGHAT",Machinist (NSQF),20
21,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - BAIHAR, DIST - BALAGHAT",Mechanic Diesel (NSQF),48
22,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - BAIHAR, DIST - BALAGHAT",Turner (NSQF),20
23,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - BAIHAR, DIST - BALAGHAT",Welder (NSQF),40
24,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - BAIHAR, DIST - BALAGHAT",Wood Work Technician (Carpenter)(NSQF),24
25,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - PALDOGRI, DIST - BALAGHAT",Computer Operator And Programming Assistant (NSQF),48
26,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - PALDOGRI, DIST - BALAGHAT",Electrician (NSQF),20
27,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - PALDOGRI, DIST - BALAGHAT",Fitter (NSQF),20
28,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - PALDOGRI, DIST - BALAGHAT",Mechanic (Motor Vehicle) (NSQF),24
29,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - PALDOGRI, DIST - BALAGHAT",Stenographer & Secretarial Assistant (Hindi) (NSQF),48
30,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - PALDOGRI, DIST - BALAGHAT",Welder (NSQF),40
31,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - BIRSA, DIST - BALAGHAT",Computer Operator And Programming Assistant (NSQF),24
32,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - BIRSA, DIST - BALAGHAT",Electrician (NSQF),20
33,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - BIRSA, DIST - BALAGHAT",Electrician (NSQF),20
34,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - BIRSA, DIST - BALAGHAT",Fitter (NSQF),20
35,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - KIRNAPUR, DIST - BALAGHAT",Computer Operator And Programming Assistant (NSQF),48
36,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - KIRNAPUR, DIST - BALAGHAT",Electrician (NSQF),20
37,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - KIRNAPUR, DIST - BALAGHAT",Fire Technology And Industrial Safety Management (NSQF),48
38,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - KIRNAPUR, DIST - BALAGHAT",Fitter (NSQF),20
39,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - KIRNAPUR, DIST - BALAGHAT",Mechanic (Motor Vehicle) (NSQF),24
40,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - KIRNAPUR, DIST - BALAGHAT",Mechanic Diesel (NSQF),48
41,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - KIRNAPUR, DIST - BALAGHAT",Welder (NSQF),40
42,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - MALAJKHAND, DIST - BALAGHAT",Computer Operator And Programming Assistant (NSQF),48
43,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - MALAJKHAND, DIST - BALAGHAT",Electrician (NSQF),20
44,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - MALAJKHAND, DIST - BALAGHAT",Fitter (NSQF),20
45,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - MALAJKHAND, DIST - BALAGHAT",Solar Technician (Electrical)(NSQF),20
46,BALAGHAT,BALAGHAT,ITI,Government,"GOVT ITI - MALAJKHAND, DIST - BALAGHAT",Welder (NSQF),40
47,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - MAWAI , DIST - MANDLA",Electrician (NSQF),20
48,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - MAWAI , DIST - MANDLA",Weaving Technician For Silk & Woolen Fabrics(NSQF),20
49,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - MOHGAON, DIST - MANDLA",Welder (NSQF),20
50,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - GHUGRI, DIST - MANDLA",Electrician (NSQF),20
51,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - NARAYANGANJ, DIST - MANDLA",Welder (NSQF),20
52,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - BIJADANDI, DIST - MANDLA",Fitter (NSQF),20
53,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - MANDLA, DIST - MANDLA",Computer Operator And Programming Assistant (NSQF),48
54,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - MANDLA, DIST - MANDLA",Electrician (NSQF),40
55,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - MANDLA, DIST - MANDLA",Fitter (NSQF),20
56,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - MANDLA, DIST - MANDLA",Food Production (General) (NSQF),24
57,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - MANDLA, DIST - MANDLA",Machinist (NSQF),20
58,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - MANDLA, DIST - MANDLA",Mason (Building Constructor) (NSQF),48
59,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - MANDLA, DIST - MANDLA",Mechanic (Motor Vehicle) (NSQF),24
60,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - MANDLA, DIST - MANDLA",Mechanic Diesel (NSQF),48
61,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - MANDLA, DIST - MANDLA",Stenographer & Secretarial Assistant (Hindi) (NSQF),48
62,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - MANDLA, DIST - MANDLA",Turner (NSQF),20
63,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - MANDLA, DIST - MANDLA",Welder (NSQF),40
64,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - MANDLA, DIST - MANDLA",Surveyor ( Nsqf),24
65,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - MANDLA, DIST - MANDLA",Architectural Draughtsman (NSQF),24
66,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - MANDLA, DIST - MANDLA",Wood Work Technician (Carpenter)(NSQF),24
67,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - NAINPUR, DIST - MANDLA",Computer Operator And Programming Assistant (NSQF),48
68,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - NAINPUR, DIST - MANDLA",Electrician (NSQF),20
69,BALAGHAT,MANDLA,ITI,Government,"GOVT ITI - NAINPUR, DIST - MANDLA",Fitter (NSQF),20
